Area,Year,Room,Total Price,PPA,Floor,Location,Garage,WareHouse,Elevator

98,1378,2,1800000000,18367000,3,abkhwh ,True,True,False

92,1384,1,2150000000,23369000,0,abkhwh ,False,False,False

75,1398,2,350000000,4666000,1,abkhwh ,True,True,False

142,1395,3,3800000000,26760000,1,abkhwh ,True,True,True

115,1389,2,2500000000,21739000,3,abkhwh ,True,True,False

110,1382,2,2100000000,19090000,2,snbd ,True,True,False

94,1390,2,2000000000,21276000,1,abkhwh ,True,True,False

78,1392,2,620000000,7948000,1,abkhwh ,False,True,False

100,1401,2,2500000000,25000000,4,abkhwh ,True,True,True

100,1373,2,2000000000,20000000,0,abkhwh ,True,True,False

110,1386,2,2800000000,25454000,2,abkhwh ,True,True,True

130,1390,2,2400000000,18461000,3,abkhwh ,True,True,False

216,1390,3,5750000000,26620000,3,abkhwh ,True,True,True

110,1401,2,3800000000,34545000,2,mydn SHb lzmn (blwr SHb lzmn) ,True,True,True

70,1380,2,1700000000,24285000,2,abkhwh ,True,True,False

131,1395,3,3300000000,25190000,1,abkhwh ,True,True,True

118,1390,2,2700000000,22881000,2,abkhwh ,True,True,True

60,1380,1,1250000000,20833000,3,abkhwh ,True,True,False

80,1385,2,1780000000,22250000,1,abkhwh ,True,True,True

175,1401,3,5600000000,32000000,1,abkhwh ,True,True,True

38,1380,Tl`t tms,700000000,18421000,1,abkhwh ,False,False,False

173,1401,3,4500000000,26011000,1,abkhwh ,True,True,True

150,1380,4,2700000000,18000000,0,khybn lshkhr thmn ly'mh ,False,False,False

70,1400,2,2700000000,38571000,1,10 dy ,False,False,True

60,1401,2,3400000000,56666000,7,10 dy ,True,True,True

76,1388,2,2250000000,29605000,2,10 dy ,True,True,False

105,1385,2,2450000000,23333000,3,10 dy ,True,True,True

82,1391,2,2100000000,25609000,1,10 dy ,True,True,True

70,1398,2,2000000000,28571000,3,mydn gnbd sbz (khybn thbt) ,False,False,True

1250,1392,+4,25000000000,20000000,3,10 dy ,True,True,True

132,1397,2,2950000000,22348000,2,17 shhrywr ,True,False,True

85,1400,2,2210000000,26000000,1,17 shhrywr ,True,True,True

113,1401,2,2650000000,23451000,5,17 shhrywr ,True,True,True

150,1401,3,3000000000,20000000,2,17 shhrywr ,True,True,True

152,1397,3,3000000000,19736000,3,17 shhrywr ,True,True,True

100,1401,2,2200000000,22000000,2,17 shhrywr ,True,True,True

145,1401,3,3000000000,20689000,3,17 shhrywr ,True,True,True

160,1401,3,4100000000,25625000,4,17 shhrywr ,True,True,True

65,1385,2,1250000000,19230000,1,17 shhrywr ,False,True,False

75,1390,2,1750000000,23333000,0,khybn `nSry shrqy (blwr hfdh shhrywr) ,True,True,False

160,1400,3,3040000000,19000000,6,17 shhrywr ,True,True,True

110,1400,2,2290000000,20818000,2,17 shhrywr ,True,True,True

65,1399,2,750000000,11538000,0,17 shhrywr ,False,True,False

1401,2,2500000000,25000000,2,17 shhrywr ,True,True,True

115,1401,2,2875000000,25000000,2,17 shhrywr ,True,True,True

85,1401,2,2400000000,28235000,4,17 shhrywr ,True,True,True

88,1389,2,1900000000,21590000,2,17 shhrywr ,True,True,True

185,1401,3,4100000000,22162000,3,17 shhrywr ,True,True,True

79,1401,2,1390000000,17594000,3,17 shhrywr ,True,True,True

134,1401,3,3100000000,23134000,5,17 shhrywr ,True,True,True

